staff_id,hotel_id,first_name,last_name,gender,position,department,position_level,start_date,salary,annual_bonus,shift,email,phone,emergency_contact,emergency_relation,emergency_phone,skills,languages,certifications,employment_type,education_level,work_schedule,performance_rating,vacation_days_per_year,sick_days_per_year,is_active,end_date,termination_reason,date_of_birth,nationality
dda52897-581e-4bd1-be3d-a54c9b6098d3,d9bf33b8-1840-414d-98c6-28783bd17201,María,Castelló,M,Front Office Manager,Front Desk,Managerial,2014-12-16,327291.34,60753.91,Morning,maríac@hotelgroup.com,+1-343-317-1009,Lisa Gomez,Sibling,+1-233-394-8300,"Problem Solving, Reservation Systems, Multi-tasking","French (Native), Arabic (Intermediate), German (Basic), Chinese (Basic)",CHIA,Part-time,High School,20 hours/week,Meets Expectations,26,5,True,,,1990-12-22,Europe
ab02e2ca-61e4-4e0d-9d0e-8520a4d4e996,d9bf33b8-1840-414d-98c6-28783bd17201,Geoffrey,Dawson,M,Bell Captain,Front Desk,Intermediate,2016-05-05,107690.69,17583.34,Night,gdawson@hotelgroup.com,+1-638-781-8224,Nathan Carlson MD,Spouse,+1-593-398-7580,"Reservation Systems, Communication, Problem Solving, Customer Service",Japanese (Native),,Full-time,High School,9-5,Meets Expectations,18,11,True,,,1996-03-04,Europe
8f354fbe-3eb1-409f-a1ed-e0f6acc7b3fa,d9bf33b8-1840-414d-98c6-28783bd17201,Juan José,Montesinos,M,Bellhop,Front Desk,Entry Level,2024-04-22,60932.83,9026.42,Morning,juan josém@hospitalitygroup.com,+1-599-641-1038,Aaron Davis,Spouse,+1-599-277-5394,"Communication, Reservation Systems, Problem Solving",German (Native),,Full-time,Bachelor's Degree,9-5,Meets Expectations,15,11,True,,,2001-11-16,Europe
f5a2efae-5112-49f4-b066-409b6702c954,d9bf33b8-1840-414d-98c6-28783bd17201,Adamo,Soranzo,M,Receptionist,Front Desk,Junior,2026-09-02,61999.71,7210.06,Morning,adamos@luxuryhotels.com,+1-216-849-7248,Charles Simpson,Spouse,+1-589-957-2889,"Customer Service, Problem Solving, Communication","Arabic (Native), Japanese (Intermediate), German (Basic), French (Fluent)",,Part-time,PhD,30 hours/week,Exceeds Expectations,11,7,True,,,1995-04-20,Europe
48a6551f-a377-48a3-931c-befcebf28445,d9bf33b8-1840-414d-98c6-28783bd17201,Joachim,Winkler,M,Guest Relations Manager,Front Desk,Senior,2016-10-28,186430.08,25572.2,Afternoon,joachimw@hospitalitygroup.com,+1-335-383-9339,Melissa Dunn,Friend,+1-325-349-9439,"Problem Solving, Communication, Customer Service",French (Native),,Full-time,Master's Degree,10-6,Needs Improvement,15,6,True,,,1978-11-13,Europe
cbe10ed9-143f-4f26-ad30-8dd78cbd352b,d9bf33b8-1840-414d-98c6-28783bd17201,Perlita,Arrieta,F,Bellhop,Front Desk,Entry Level,2025-09-19,43963.44,2858.73,Rotating,perlitaa@luxuryhotels.com,+1-280-435-9630,Brian Allen,Spouse,+1-991-671-5951,"Multi-tasking, Communication, Customer Service, Problem Solving",Spanish (Native),,Full-time,High School,10-6,Meets Expectations,12,8,True,,,2007-05-17,Europe
f65aa94a-26f8-49ff-a1ac-0686c7c1f47b,d9bf33b8-1840-414d-98c6-28783bd17201,Luciana,Ferragamo,F,Guest Relations Manager,Front Desk,Senior,2023-09-14,121343.18,20605.73,Rotating,luciana.ferragamo@hospitalitygroup.com,+1-337-577-6061,Jessica Brooks,Parent,+1-367-602-5996,"Reservation Systems, Communication, Customer Service, Multi-tasking","Russian (Native), Spanish (Basic)",,Full-time,High School,10-6,Meets Expectations,15,10,True,,,1996-11-21,Europe
bdc4dc51-365d-4954-9e9d-2f3892c60637,d9bf33b8-1840-414d-98c6-28783bd17201,Karl,Davis,M,Front Desk Agent,Front Desk,Junior,2022-08-22,83548.1,11818.84,Rotating,kdavis@hotelgroup.com,+1-725-505-8397,Emily Parks,Friend,+1-648-622-1883,"Communication, Multi-tasking, Problem Solving","French (Native), English (Fluent), German (Intermediate)",,Full-time,High School,8-4,Meets Expectations,12,7,False,2024-01-16,Retired,1993-04-20,Europe
f52e8919-7215-4694-ae03-ebf6ccc450d6,d9bf33b8-1840-414d-98c6-28783bd17201,Margaux,Delmas,F,Front Desk Agent,Front Desk,Junior,2023-04-12,60521.82,5463.13,Rotating,margauxd@luxuryhotels.com,+1-389-429-3127,Laura Mcdowell,Parent,+1-988-816-9046,"Multi-tasking, Customer Service, Problem Solving",Arabic (Native),,Full-time,Vocational Training,Shift Work,Meets Expectations,10,5,True,,,2003-03-23,Europe
3057c55c-e9f8-45c0-8bc2-9d9b7fb02e96,d9bf33b8-1840-414d-98c6-28783bd17201,Paoletta,Tamburello,F,Bellhop,Front Desk,Entry Level,2021-12-15,56420.96,8808.72,Rotating,paoletta.tamburello@hotelgroup.com,+1-550-866-8074,Jessica Hudson,Parent,+1-519-259-6294,"Reservation Systems, Customer Service, Problem Solving",Russian (Native),,Full-time,High School,9-5,Meets Expectations,11,11,True,,,2000-11-22,Europe
