staff_id,hotel_id,first_name,last_name,gender,position,department,position_level,hire_date,salary,annual_bonus,shift,email,phone,emergency_contact,emergency_relation,emergency_phone,total_experience_years,company_tenure_years,skills,languages,certifications,previous_hotels_worked,employment_type,education_level,work_schedule,performance_rating,vacation_days_remaining,sick_days_remaining,is_active,termination_date,termination_reason,date_of_birth,nationality,emergency_contact_name,emergency_contact_phone
S0001000001,82958c98-18a5-4f9a-9695-04f292b4abb2,शिवाली,प्रधान,F,Front Office Manager,Front Desk,Managerial,2023-08-23,93200,3723.71,Afternoon,शप्रधान@hotels.com,+1-896-203-5012,Robin Palmer,Sibling,+1-254-884-8939,10.9,2.5,"Attention to Detail, Multi-tasking, Computer Skills","French (Native), German (Fluent), Arabic (Basic)","CPR Certified, Certified Hotel Administrator, CHIA",4,Full-time,Vocational Training,11pm-7am,Meets Expectations,12,6,True,,,1979-09-24,Asia Pacific,Robin Palmer,+1-254-884-8939
S0001000002,82958c98-18a5-4f9a-9695-04f292b4abb2,丽娟,李,F,Receptionist,Front Desk,Junior,2026-05-09,25100,1441.88,Night,丽李@hotelgroup.com,+1-624-997-1937,Misty Mccoy,Spouse,+1-932-226-2738,2.2,0.1,"Problem Solving, Communication, Computer Skills, Attention to Detail, Time Management","Russian (Native), Arabic (Fluent), Japanese (Fluent)",,2,Full-time,High School,9am-5pm,Meets Expectations,6,6,True,,,1966-08-10,Asia Pacific,Misty Mccoy,+1-932-226-2738
S0001000003,82958c98-18a5-4f9a-9695-04f292b4abb2,ฐิติกุล,โพธิสัตย์,F,Guest Relations Manager,Front Desk,Senior,2019-05-06,70000,2509.39,Afternoon,ฐิติกุล.โพธิสัตย์91@hotels.com,+1-787-925-4056,Phyllis Mcclure,Parent,+1-316-555-9456,12.1,6.8,"Customer Service, Problem Solving, Attention to Detail","Russian (Native), German (Fluent), Japanese (Intermediate), French (Basic)",Food Handler,1,Full-time,High School,3pm-11pm,Meets Expectations,22,12,True,,,1993-08-08,Asia Pacific,Phyllis Mcclure,+1-316-555-9456
S0001000004,82958c98-18a5-4f9a-9695-04f292b4abb2,중수,김,M,Front Desk Agent,Front Desk,Junior,2024-07-16,31300,2533.53,Morning,중김@hotelgroup.com,+1-379-978-5367,Aaron Hanson,Parent,+1-900-230-3268,5.0,1.6,"Computer Skills, Time Management, Communication, Multi-tasking, Customer Service","Arabic (Native), Russian (Intermediate), French (Fluent), Chinese (Fluent)",,4,Full-time,Bachelor's Degree,10am-6pm,Meets Expectations,10,10,True,,,2002-04-20,Asia Pacific,Aaron Hanson,+1-900-230-3268
S0001000005,82958c98-18a5-4f9a-9695-04f292b4abb2,अमित,प्रसाद,M,Receptionist,Front Desk,Junior,2024-03-03,32800,3891.78,Morning,अमितप@hotelgroup.com,+1-771-947-7046,Matthew Perez,Friend,+1-207-306-4784,3.9,1.9,"Problem Solving, Attention to Detail, Time Management, Multi-tasking, Customer Service, Reservation Systems","English (Native), Spanish (Fluent)",,2,Part-time,Bachelor's Degree,Evenings,Meets Expectations,10,11,False,2025-10-25,Resigned,1962-06-05,Asia Pacific,Matthew Perez,+1-207-306-4784
S0001000006,82958c98-18a5-4f9a-9695-04f292b4abb2,丽丽,曲,F,Bell Captain,Front Desk,Intermediate,2023-05-08,45000,2063.04,Rotating,丽丽.曲@hotelgroup.com,+1-779-764-6919,Brendan Rhodes,Friend,+1-492-476-1614,5.4,2.8,"Computer Skills, Reservation Systems, Customer Service, Time Management, Problem Solving","French (Native), Chinese (Fluent), Arabic (Fluent), Spanish (Intermediate)",,0,Part-time,Bachelor's Degree,20 hours/week,Meets Expectations,13,5,True,,,1965-08-20,Asia Pacific,Brendan Rhodes,+1-492-476-1614
S0001000007,82958c98-18a5-4f9a-9695-04f292b4abb2,康弘,高橋,M,Concierge,Front Desk,Intermediate,2022-07-09,51700,3649.48,Night,康弘.高橋@hospitalitygroup.com,+1-468-617-7156,Wendy Roman,Parent,+1-222-896-5291,6.8,3.6,"Time Management, Problem Solving, Customer Service",Spanish (Native),,3,Full-time,Bachelor's Degree,11pm-7am,Exceeds Expectations,13,5,True,,,1975-02-15,Asia Pacific,Wendy Roman,+1-222-896-5291
S0001000008,82958c98-18a5-4f9a-9695-04f292b4abb2,재호,권,M,Bellhop,Front Desk,Entry Level,2026-02-25,25800,3046.24,Morning,재호.권@hotelgroup.com,+1-210-213-1625,Cynthia Evans,Sibling,+1-630-743-8597,2.0,0.1,"Multi-tasking, Problem Solving, Attention to Detail, Computer Skills, Time Management","English (Native), French (Basic)",,2,Full-time,Vocational Training,11pm-7am,Meets Expectations,9,9,True,,,1985-01-20,Asia Pacific,Cynthia Evans,+1-630-743-8597
S0001000009,82958c98-18a5-4f9a-9695-04f292b4abb2,วุฒิ,ถุงเงิน,M,Bellhop,Front Desk,Entry Level,2026-05-12,23100,1786.34,Night,วถุงเงิน@hospitalitygroup.com,+1-645-849-1977,Scott Mathews,Partner,+1-673-330-3178,0.2,0.1,"Attention to Detail, Problem Solving, Computer Skills, Reservation Systems, Time Management, Conflict Resolution","Russian (Native), German (Basic), Spanish (Basic)",,4,Full-time,High School,11pm-7am,Needs Improvement,6,11,True,,,1996-02-21,Asia Pacific,Scott Mathews,+1-673-330-3178
S0001000010,82958c98-18a5-4f9a-9695-04f292b4abb2,성수,박,M,Bellhop,Front Desk,Entry Level,2026-03-20,27100,1445.37,Night,성수.박@hotels.com,+1-709-642-4515,Raven Smith,Friend,+1-621-858-2133,0.7,0.1,"Computer Skills, Customer Service, Multi-tasking, Problem Solving, Attention to Detail, Reservation Systems",Spanish (Native),,1,Full-time,Master's Degree,10am-6pm,Meets Expectations,9,11,True,,,1968-04-21,Asia Pacific,Raven Smith,+1-621-858-2133
